Var1,sub,ch,x,y,z
202,EL020,LFP_R_05_STN_MT,12.2448,-12.1945,-6.1467
203,EL020,LFP_R_06_STN_MT,12.9111,-13.0159,-5.90411
204,EL020,LFP_R_07_STN_MT,13.201,-12.2125,-6.53657
205,EL020,LFP_R_08_STN_MT,13.4516,-11.522,-4.25306
206,EL021,ECOG_R_01_SMC_AT,51.28731956485969,-45.01304127552745,54.98507325301823
207,EL021,ECOG_R_02_SMC_AT,52.23494567910218,-38.27532677583716,56.25710127478169
208,EL021,ECOG_R_03_SMC_AT,48.188042892483836,-28.06852814325328,61.667132121173374
209,EL021,ECOG_R_04_SMC_AT,47.765201502806214,-22.76940428299139,62.25318364873046
210,EL021,ECOG_R_05_SMC_AT,42.53680077026374,-12.139837268261395,64.24853129243348
211,EL021,ECOG_R_06_SMC_AT,39.917033138109105,-4.840117495124519,62.53260943530763
212,EL021,LFP_R_01_STN_MT,12.2371,-14.7294,-7.88309
213,EL021,LFP_R_02_STN_MT,12.2225,-13.6039,-6.09516
214,EL021,LFP_R_03_STN_MT,12.852,-14.375,-5.76397
215,EL021,LFP_R_04_STN_MT,13.3181,-13.5882,-6.3802
216,EL021,LFP_R_05_STN_MT,12.7227,-12.7587,-4.27377
217,EL021,LFP_R_06_STN_MT,13.3706,-13.5469,-3.94116
218,EL021,LFP_R_07_STN_MT,13.8248,-12.7536,-4.55759
219,EL021,LFP_R_08_STN_MT,13.7893,-12.1501,-2.3118
220,EL022,ECOG_R_01_SMC_AT,45.48818822724968,-56.70634448986162,54.5299433228526
221,EL022,ECOG_R_02_SMC_AT,42.95358015056329,-46.73706718800869,61.21774821316407
222,EL022,ECOG_R_03_SMC_AT,42.20703254088306,-34.89292497981221,64.10687601343757
223,EL022,ECOG_R_04_SMC_AT,42.23775069838427,-26.67922605377082,64.66328096242857
224,EL022,ECOG_R_05_SMC_AT,39.88166934087058,-14.375660716649536,66.35399450429526
225,EL022,ECOG_R_06_SMC_AT,37.66061823408434,-6.4284131349481735,64.08336734657611
226,EL022,LFP_R_01_STN_MT,10.8257,-14.0745,-9.12206
227,EL022,LFP_R_02_STN_MT,10.9089,-12.6851,-7.26577
228,EL022,LFP_R_03_STN_MT,11.0772,-13.7384,-6.74214
229,EL022,LFP_R_04_STN_MT,11.9887,-13.2557,-7.34087
230,EL022,LFP_R_05_STN_MT,11.3986,-11.8481,-5.32979
231,EL022,LFP_R_06_STN_MT,11.5881,-12.9033,-4.82404
232,EL022,LFP_R_07_STN_MT,12.4979,-12.4241,-5.4082
233,EL022,LFP_R_08_STN_MT,12.3717,-11.5118,-3.21949
234,EL023,ECOG_R_01_SMC_AT,15.181722040379352,-53.001900568838536,72.26547320583947
235,EL023,ECOG_R_02_SMC_AT,15.314959364545514,-42.04613702204578,76.7980948622658
236,EL023,ECOG_R_03_SMC_AT,15.336724944572723,-31.519123722180513,76.5318543650611
237,EL023,ECOG_R_04_SMC_AT,15.664093193998502,-20.875029968246288,75.64695631368625
238,EL023,ECOG_R_05_SMC_AT,17.268003190787585,-9.655726993135573,73.49874697274964
239,EL023,ECOG_R_06_SMC_AT,20.000764111383948,-2.8933607983661123,73.02250737893405
240,EL023,LFP_R_01_STN_MT,10.1078,-14.1566,-11.0388
241,EL023,LFP_R_02_STN_MT,10.2394,-12.7942,-9.24691
242,EL023,LFP_R_03_STN_MT,10.3782,-13.8789,-8.29091
243,EL023,LFP_R_04_STN_MT,11.2161,-13.3099,-9.1217
244,EL023,LFP_R_05_STN_MT,10.7319,-11.9504,-7.02902
245,EL023,LFP_R_06_STN_MT,10.8567,-12.9884,-6.13958
246,EL023,LFP_R_07_STN_MT,11.7127,-12.4446,-6.9173
247,EL023,LFP_R_08_STN_MT,11.615,-11.4887,-4.40051
